[INFO][2026-01-05 19:42:04,731][conftest] Запускаю браузер Playwright...
[INFO][2026-01-05 19:42:06,046][conftest] Браузер запущен
[INFO][2026-01-05 19:42:06,247][conftest] Страница создана и настроена
[INFO][2026-01-05 19:42:06,249][tests.test_github_graph] Запуск case_5: Проверка наведения на график коммитов
[INFO][2026-01-05 19:42:08,033][tests.test_github_graph] Страница графика коммитов загружена
[INFO][2026-01-05 19:42:13,701][tests.test_github_graph] Найдено элементов графика: 52
[INFO][2026-01-05 19:42:18,915][tests.test_github_graph] Наведено на элемент графика #26
[INFO][2026-01-05 19:42:18,934][tests.test_github_graph] Найдено значение в тултипе: 379
[INFO][2026-01-05 19:42:18,934][tests.test_github_graph] ✓ Значение в тултипе успешно получено
