[INFO][2026-01-05 18:08:36,824][conftest] Запускаю браузер Playwright...
[INFO][2026-01-05 18:08:37,811][conftest] Браузер запущен
[INFO][2026-01-05 18:08:37,995][conftest] Страница создана и настроена
[INFO][2026-01-05 18:08:37,997][tests.test_github_graph] Запуск case_5: Проверка наведения на график коммитов
[INFO][2026-01-05 18:08:39,822][tests.test_github_graph] Страница графика коммитов загружена
[INFO][2026-01-05 18:08:45,303][tests.test_github_graph] Найдено элементов графика: 52
[INFO][2026-01-05 18:08:50,491][tests.test_github_graph] Наведено на элемент графика #26
[INFO][2026-01-05 18:08:50,502][tests.test_github_graph] Найдено значение в тултипе: 379
[INFO][2026-01-05 18:08:50,502][tests.test_github_graph] ✓ Значение в тултипе успешно получено
