[INFO][2026-01-05 19:08:51,162][conftest] Запускаю браузер Playwright...
[INFO][2026-01-05 19:08:52,422][conftest] Браузер запущен
[INFO][2026-01-05 19:08:52,612][conftest] Страница создана и настроена
[INFO][2026-01-05 19:08:52,617][tests.test_github_graph] Запуск case_5: Проверка наведения на график коммитов
[INFO][2026-01-05 19:08:54,305][tests.test_github_graph] Страница графика коммитов загружена
[INFO][2026-01-05 19:08:59,840][tests.test_github_graph] Найдено элементов графика: 52
[INFO][2026-01-05 19:09:05,069][tests.test_github_graph] Наведено на элемент графика #26
[INFO][2026-01-05 19:09:05,089][tests.test_github_graph] Найдено значение в тултипе: 379
[INFO][2026-01-05 19:09:05,090][tests.test_github_graph] ✓ Значение в тултипе успешно получено
